Epoch,Train Loss
1,0.056279003620147705
2,0.010435990989208221
3,0.009133512154221535
4,0.00837299507111311
5,0.008032016456127167
6,0.007754843682050705
7,0.007667643018066883
8,0.007573501206934452
9,0.007479785475879908
10,0.007412292994558811
11,0.007320254575461149
12,0.007327722851186991
13,0.007339572533965111
14,0.007278124801814556
15,0.007182655856013298
16,0.007306477054953575
17,0.0071556707844138145
18,0.007101098075509071
19,0.007108273915946484
20,0.007021794095635414
21,0.007038092706352472
22,0.006974847987294197
23,0.007006061263382435
24,0.007058145944029093
25,0.007030864246189594
26,0.006930373143404722
27,0.006996944546699524
28,0.006871855352073908
29,0.00690695084631443
30,0.0068999710492789745
31,0.006874526385217905
32,0.006853186059743166
33,0.006853374186903238
34,0.00685751810669899
35,0.006817839574068785
36,0.006772859953343868
37,0.006791876163333654
38,0.006811343599110842
39,0.006785135250538588
40,0.006746044848114252
41,0.006781779229640961
42,0.006765919737517834
43,0.006715218536555767
44,0.0067111169919371605
45,0.0066981990821659565
46,0.006691647227853537
47,0.006690074689686298
48,0.0066846199333667755
49,0.0066604577004909515
50,0.0066783232614398
51,0.0066308798268437386
52,0.006684901192784309
53,0.006641732528805733
54,0.00660603865981102
55,0.006617339327931404
56,0.006613129284232855
57,0.0066034807823598385
58,0.00664711045101285
59,0.006592020858079195
60,0.006597716361284256
61,0.006597441155463457
62,0.006652736570686102
63,0.0066228508949279785
64,0.006580868735909462
65,0.006593314465135336
66,0.006645774003118277
67,0.006549114361405373
68,0.006524968426674604
69,0.006557093933224678
70,0.00654500350356102
71,0.006594210397452116
72,0.00656490633264184
73,0.006506442558020353
74,0.0065460302866995335
75,0.006622311193495989
76,0.006535579916089773
77,0.0065229046158492565
78,0.00655249273404479
79,0.006517695263028145
80,0.006638186052441597
81,0.006588678807020187
82,0.006544341333210468
83,0.0064866431057453156
84,0.006545237731188536
85,0.006510406266897917
86,0.006483291741460562
87,0.006492735352367163
88,0.006452065892517567
89,0.006471671629697084
90,0.0064550903625786304
91,0.006476938724517822
92,0.006484412122517824
93,0.006461602635681629
94,0.006400516722351313
95,0.006464946549385786
96,0.006441906560212374
97,0.006443171761929989
98,0.006473369896411896
99,0.0064256563782691956
100,0.006376069970428944
